Total solar irradiance (W/m2),Air temperature  (°C) ,Relative humidity (%),Power (MW)
0.0,3.33,67.25,0.0
0.0,2.9,73.56,0.0
10.29,3.21,67.56,0.41
18.04,3.26,76.13,0.69
28.92,3.22,70.51,1.17
39.83,3.09,76.57,1.55
49.42,3.91,67.95,2.15
73.9,3.42,77.81,2.76
78.83,4.25,75.54,2.71
100.89,4.56,63.41,3.44
96.37,5.04,69.44,4.2
125.22,4.79,68.01,4.05
122.2,4.6,61.2,4.44
151.43,5.46,60.83,4.84
170.44,5.96,62.8,6.13
167.47,6.59,68.59,6.39
179.89,5.9,68.61,7.32
183.15,5.61,70.7,6.96
211.96,6.8,69.99,7.02
202.6,6.35,66.05,7.27
225.34,7.08,61.99,8.77
220.24,6.88,63.76,8.29
258.01,8.23,60.4,8.08
263.57,8.02,62.97,9.59
267.16,7.96,56.61,9.72
271.22,7.25,57.68,9.66
272.86,7.96,58.7,9.06
236.91,8.49,59.81,9.66
243.64,7.66,59.9,8.81
187.23,9.03,66.66,7.06
171.32,7.15,63.66,7.1
159.21,7.58,58.57,6.24
129.13,7.45,67.16,5.24
131.17,7.77,62.65,4.15
110.64,7.9,65.69,3.34
95.49,6.41,67.3,2.85
60.19,6.17,69.12,2.2
44.16,5.9,65.91,1.67
31.93,5.26,77.05,1.02
17.44,5.27,74.39,0.55
0.0,6.1,65.63,0.0
0.0,5.16,76.33,0.0
0.0,5.59,77.61,0.0
0.0,4.84,74.87,0.0
0.0,5.6,73.99,0.0
0.0,4.92,75.04,0.0
0.0,4.46,80.0,0.0
0.0,4.7,75.27,0.0
0.0,3.8,89.01,0.0
13.04,4.32,81.05,0.35
25.29,4.55,76.23,0.86
37.71,4.73,72.43,1.35
55.12,4.05,71.7,1.81
67.69,4.01,74.35,2.3
101.7,4.57,84.62,2.78
100.03,5.72,72.63,3.76
135.12,4.99,71.83,4.16
131.99,5.65,82.65,4.62
149.55,7.0,73.86,5.06
164.49,7.34,67.94,5.99
197.87,7.77,64.91,6.03
183.5,8.22,62.78,6.8
240.43,8.36,75.93,6.22
204.08,9.32,64.76,7.66
228.12,8.62,64.39,8.27
254.5,8.59,66.51,8.13
256.1,9.8,70.65,8.93
294.69,8.8,69.79,8.94
